GEOID,UNDER18,AGE18_64,OVER64
330019651003042,0,0,0
330019651003043,0,0,0
330019651003044,0,0,0
330019651003045,1,2,0
330019651003046,0,0,0
330019651003047,0,0,2
330019651003048,0,0,0
330019651003049,0,0,0
330019651003050,0,0,0
330019651003051,10,19,2
330019651003052,0,0,0
330019651003053,1,2,0
330019651003054,12,24,13
330019651003055,2,2,0
330019651003056,0,0,0
330019651003057,0,0,0
330019651003058,0,0,0
330019651003059,0,0,0
330019651003060,5,16,1
330019651003061,16,28,6
330019651003062,0,2,0
330019651003063,8,18,3
330019651003064,15,20,3
330019651003065,10,20,7
330019651003066,0,0,0
330019651003067,0,5,0
330019651003068,0,0,0
330019651003069,0,0,0
330019651003070,1,3,0
330019651003071,0,0,0
330019651003072,7,12,1
330019651003073,7,10,0
330019651003074,0,0,0
330019651003075,2,5,0
330019651003076,0,0,0
330019651003077,0,0,0
330019651003078,0,0,0
330019651003079,0,0,0
330019651003080,0,0,0
330019651003081,11,31,6
330019651003082,4,6,3
330019651003083,0,0,0
330019651003084,0,0,0
330019651003085,1,2,0
330019651003086,22,53,2
330019651003087,4,14,0
330019651003088,26,72,23
330019651003089,0,0,0
330019651003090,8,49,8
330019651003091,0,0,0
330019651003092,0,0,0
330019651003093,1,2,3
330019651003094,0,20,9
330019651003095,0,0,0
330019651003096,0,0,0
330019651003097,0,0,0
330019651003098,0,0,0
330019651003099,0,1,0
330019651003100,2,4,0
330019651003101,0,0,0
330019651003102,0,0,0
330019651003103,0,0,0
330019651003104,0,0,0
330019651003105,3,8,2
330019651003106,0,0,0
330019651003107,10,31,5
330019651003108,4,17,6
330019651003109,2,2,0
330019651003110,1,10,3
330019651003111,0,0,0
330019651003112,0,0,0
330019651003113,0,0,0
330019651003114,0,0,0
330019651003115,0,14,0
330019651003116,0,5,1
330019651003117,4,10,2
330019651003118,0,0,0
330019651003119,0,0,0
330019651003120,2,7,2
330019651003121,0,0,0
330019651003122,0,0,0
330019651003123,0,0,0
330019651003124,1,5,0
330019651003125,0,2,0
330019651003126,0,0,0
330019651003127,0,1,1
330019651003128,0,0,0
330019651003129,0,0,0
330019651003130,0,0,0
330019651003131,0,0,0
330019651003132,0,0,0
330019651003133,0,0,0
330019652001000,0,0,0
330019652001001,0,0,0
330019652001002,0,0,0
330019652001003,0,0,0
330019652001004,0,2,1
330019652001005,0,1,1
330019652001006,0,0,0
330019652001007,0,0,0
330019652001008,5,23,17
330019652001009,0,10,4
330019652001010,0,0,0
330019652001011,0,0,0
330019652001012,0,7,0
330019652001013,27,85,12
330019652001014,2,2,0
330019652001015,0,0,0
330019652001016,6,13,2
330019652001017,43,146,41
330019652001018,0,0,0
330019652001019,0,0,0
330019652001020,0,8,3
330019652001021,1,7,2
330019652001022,0,0,0
330019652001023,0,0,0
330019652001024,0,0,0
330019652001025,0,0,0
330019652001026,0,0,0
330019652001027,0,0,0
330019652001028,2,8,0
330019652001029,6,13,2
330019652001030,0,0,1
330019652001031,17,60,7
330019652001032,13,58,15
330019652001033,0,0,0
330019652001034,1,9,7
330019652001035,0,2,0
330019652001036,0,0,0
330019652001037,0,0,0
330019652001038,0,0,0
330019652001039,0,0,0
330019652001040,0,0,0
330019652001041,0,6,8
330019652001042,1,17,11
330019652001043,0,0,0
330019652001044,2,2,3
330019652001045,0,0,0
330019652001046,0,0,0
330019652001047,0,0,0
330019652001048,0,3,0
330019652001049,0,0,2
330019652001050,0,0,0
330019652001051,0,0,0
330019652001052,6,52,38
330019652001053,0,0,0
330019652001054,0,0,0
330019652001055,0,13,5
330019652001056,0,3,0
330019652001057,13,56,19
330019652001058,0,6,3
330019652001059,3,11,6
330019652001060,0,0,0
330019652001061,10,32,6
330019652001062,0,1,4
330019652001063,0,0,0
330019652001064,0,0,4
330019652001065,0,0,2
330019652001066,0,11,9
330019652001067,0,4,2
330019652001068,0,0,3
330019652001069,0,0,0
330019652001070,3,4,3
330019652001071,0,0,0
330019652001072,0,0,0
330019652001073,0,5,0
330019652001074,0,0,0
330019652001075,0,0,0
330019652001076,0,0,0
330019652001077,0,2,1
330019652002000,80,128,17
330019652002001,0,0,0
330019652002002,0,7,1
330019652002003,12,38,7
330019652002004,0,7,0
330019652002005,2,8,1
330019652002006,76,179,27
330019652002007,0,0,0
330019652002008,0,0,0
330019652002009,0,0,0
330019652002010,0,0,0
330019652002011,4,9,5
330019652002012,0,0,0
330019652002013,5,8,5
330019652002014,12,19,1
330019652002015,4,25,3
330019652002016,0,17,54
330019652002017,10,24,1
330019652002018,0,0,0
330019652002019,1,1,0
330019652002020,3,17,5
330019652002021,3,2,0
330019652002022,31,124,71
330019652002023,3,5,1
330019652002024,11,28,3
330019652002025,4,13,3
330019652002026,0,0,0
330019652002027,6,15,9
330019652002028,6,14,4
330019652002029,1,8,1
330019652002030,2,35,24
330019652002031,0,0,0
